"ZDM","UPDOWN","ZDXH","JINGDU","WEIDU","XLH","BUSLINE_ID","LINETYPE_ID","CITY_ID"
"汇华园","0","1","123.03791","41.08069","401","8697","10","1"
"万科城市花园","0","2","123.03253","41.08338","401","8697","10","1"
"汇园路","0","3","123.03117","41.0976","401","8697","10","1"
"莘英路","0","4","123.02038","41.08586","401","8697","10","1"
"长兴街","0","5","123.01486","41.0899","401","8697","10","1"
"中医院","0","6","123.01755","41.09404","401","8697","10","1"
"佳泰乐超市","0","7","123.02469","41.12994","401","8697","10","1"
"湖南街","0","8","123.01627","41.09671","401","8697","10","1"
"常青街","0","9","123.01082","41.09626","401","8697","10","1"
"银环社区","0","10","123.00638","41.09746","401","8697","10","1"
"园林大道","0","11","122.992","41.08138","401","8697","10","1"
"中华南路","0","12","122.9928","41.09083","401","8697","10","1"
"博格园","0","13","122.99361","41.10183","401","8697","10","1"
"钢锋街","0","14","122.9857","41.1042","401","8697","10","1"
"山南小学","0","15","122.98744","41.09975","401","8697","10","1"
"烈士山公园西","0","16","122.9971","41.10664","401","8697","10","1"
"第二中学","0","17","122.99867","41.11378","401","8697","10","1"
"站前街","0","18","122.99142","41.12047","401","8697","10","1"
"站前街","1","0","122.99142","41.12047","401","8697","10","1"
"第二中学","1","1","122.99867","41.11378","401","8697","10","1"
"烈士山公园西","1","2","122.9971","41.10664","401","8697","10","1"
"山南小学","1","3","122.98741","41.09975","401","8697","10","1"
"钢锋街","1","4","122.9857","41.1042","401","8697","10","1"
"博格园","1","5","122.99361","41.10183","401","8697","10","1"
"中华南路","1","6","122.9928","41.09083","401","8697","10","1"
"园林大道","1","7","122.992","41.08138","401","8697","10","1"
"银环社区","1","8","123.00638","41.09746","401","8697","10","1"
"常青街","1","9","123.0109","41.09625","401","8697","10","1"
"湖南街","1","10","123.0163","41.09671","401","8697","10","1"
"佳泰乐超市","1","11","123.02469","41.12994","401","8697","10","1"
"中医院","1","12","123.01758","41.09404","401","8697","10","1"
"长兴街","1","13","123.01486","41.0899","401","8697","10","1"
"莘英路","1","14","123.02038","41.08586","401","8697","10","1"
"汇园路","1","15","123.03117","41.0976","401","8697","10","1"
"万科城市花园","1","16","123.03253","41.08338","401","8697","10","1"
"汇华园","1","17","123.03791","41.08069","401","8697","10","1"
"永缙桃源","1","18","123.04208","41.08186","401","8697","10","1"
"万平社区","0","0","123.03986","41.16383","402","8698","10","1"
"立山办事处","0","1","123.04048","41.16418","402","8698","10","1"
"十四中学","0","2","123.03335","41.09371","402","8698","10","1"
"立山批发市场","0","3","123.04208","41.1609","402","8698","10","1"
"立山火车站","0","4","123.02785","41.15636","402","8698","10","1"
"劳动路口","0","5","123.02477","41.15422","402","8698","10","1"
"立山桥洞","0","6","123.02013","41.15288","402","8698","10","1"
"自由街","0","7","123.01841","41.15091","402","8698","10","1"
"双山路","0","8","123.02236","41.14399","402","8698","10","1"
"小东门","0","9","123.0125","41.14324","402","8698","10","1"
"永安街","0","10","123.01027","41.14122","402","8698","10","1"
"通山街","0","11","123.00784","41.13925","402","8698","10","1"
"鞍钢计量","0","12","123.00723","41.13442","402","8698","10","1"
"团结街口","0","13","123.00806","41.13328","402","8698","10","1"
"市委学校","0","14","123.00819","41.13034","402","8698","10","1"
"正义街","0","15","123.00421","41.12863","402","8698","10","1"
"钢城街","0","16","123.00094","41.12735","402","8698","10","1"
"八卦街","0","17","123.0042","41.12739","402","8698","10","1"
"站前","0","18","122.99162","41.12029","402","8698","10","1"
"欧华小区","0","0","123.02942","41.08699","410路","8699","10","1"
"万泰锦绣华城","0","1","123.02604","41.08854","410路","8699","10","1"
"石东街","0","2","0","0","410路","8699","10","1"
"大石街","0","3","0","0","410路","8699","10","1"
"二十六中学","0","4","123.01491","41.09954","410路","8699","10","1"
"常青街","0","5","123.01219","41.10307","410路","8699","10","1"
"卫钢街","0","6","123.00367","41.10524","410路","8699","10","1"
"卫钢街西口","0","7","123.00114","41.10616","410路","8699","10","1"
"烈士山","0","8","122.99842","41.10916","410路","8699","10","1"
"老一中","0","9","0","0","410路","8699","10","1"
"第二中学","0","10","122.99867","41.11378","410路","8699","10","1"
"天河大厦","0","11","122.99571","41.11661","410路","8699","10","1"
"铁西广场","0","12","122.98674","41.12174","410路","8699","10","1"
"联营公司","0","13","122.97993","41.12386","410路","8699","10","1"
"铁西区委","0","14","122.97626","41.12499","410路","8699","10","1"
"老槐树","0","15","122.97581","41.12647","410路","8699","10","1"
"八家子","0","16","122.97386","41.12804","410路","8699","10","1"
"八家子","1","0","122.97389","41.12804","410路","8699","10","1"
"老槐树","1","1","122.97584","41.12647","410路","8699","10","1"
"铁西区委","1","2","122.97629","41.12499","410路","8699","10","1"
"联营公司","1","3","122.97996","41.12386","410路","8699","10","1"
"铁西广场","1","4","122.98677","41.12174","410路","8699","10","1"
"站前街","1","5","122.99142","41.12047","410路","8699","10","1"
"第二中学","1","6","122.9987","41.11378","410路","8699","10","1"
"齐敏整形美容医院","1","7","0","0","410路","8699","10","1"
"烈士山","1","8","122.99842","41.10916","410路","8699","10","1"
"卫钢街西口","1","9","123.00117","41.10616","410路","8699","10","1"
"卫钢街","1","10","123.00367","41.10524","410路","8699","10","1"
"常青街","1","11","123.01222","41.10307","410路","8699","10","1"
"二十六中学","1","12","123.01494","41.09954","410路","8699","10","1"
"大石街","1","13","0","0","410路","8699","10","1"
"石东街","1","14","0","0","410路","8699","10","1"
"万泰锦绣华城","1","15","123.02604","41.08854","410路","8699","10","1"
"欧华小区","1","16","123.02945","41.08699","410路","8699","10","1"
"苗圃","0","0","123.07174","41.14721","411","8700","10","1"
"太平小区","0","1","123.0812","41.15807","411","8700","10","1"
"太平村","0","2","123.06365","41.14973","411","8700","10","1"
"曙光医院","0","3","123.06363","41.14805","411","8700","10","1"
"三高职","0","4","123.06004","41.14587","411","8700","10","1"
"健身东路(第四医院)","0","5","123.05771","41.14511","411","8700","10","1"
"九区","0","6","123.00078","41.12553","411","8700","10","1"
"龙家街(曙光路)","0","7","123.05004","41.13748","411","8700","10","1"
"青年宫","0","8","123.04498","41.13294","411","8700","10","1"
"曙光路南口","0","9","123.042","41.13137","411","8700","10","1"
"健身广场","0","10","123.03794","41.13399","411","8700","10","1"
"朝阳二街","0","11","123.03314","41.13707","411","8700","10","1"
"双山医院","0","12","123.02884","41.13979","411","8700","10","1"
"中华路","0","13","122.99874","41.10262","411","8700","10","1"
"中华小学","0","14","123.02449","41.14237","411","8700","10","1"
"双山路","0","15","123.02236","41.14399","411","8700","10","1"
"光明街","0","16","123.0119","41.14236","411","8700","10","1"
"通山街","0","17","123.00784","41.13925","411","8700","10","1"
"胜利会堂","0","18","123.00821","41.12576","411","8700","10","1"
"新华街口","0","19","123.00897","41.12381","411","8700","10","1"
"新华街","0","20","123.00675","41.12447","411","8700","10","1"
"八卦街","0","21","123.0042","41.12739","411","8700","10","1"
"五一路","0","22","122.99769","41.12399","411","8700","10","1"
"五一路","1","0","122.99819","41.12313","411","8700","10","1"
"八卦街","1","1","123.0042","41.12739","411","8700","10","1"
"新华街","1","2","123.00675","41.12447","411","8700","10","1"
"新华街口","1","3","123.00897","41.12381","411","8700","10","1"
"胜利会堂","1","4","123.00818","41.12576","411","8700","10","1"
"通山街","1","5","123.00787","41.13925","411","8700","10","1"
"光明街","1","6","123.01193","41.14236","411","8700","10","1"
"双山路","1","7","123.02239","41.14399","411","8700","10","1"
"中华小学","1","8","123.02452","41.14237","411","8700","10","1"
"双山医院","1","9","123.02947","41.13957","411","8700","10","1"
"中华路","1","10","122.99874","41.10262","411","8700","10","1"
"朝阳二街","1","11","123.0332","41.13686","411","8700","10","1"
"健身广场","1","12","123.03791","41.13387","411","8700","10","1"
"曙光路南口","1","13","123.04305","41.13125","411","8700","10","1"
"青年宫","1","14","123.04746","41.13506","411","8700","10","1"
"龙家街(曙光路)","1","15","123.05007","41.13748","411","8700","10","1"
"九区","1","16","123.00078","41.12553","411","8700","10","1"
"健身东路(第四医院)","1","17","123.05771","41.14511","411","8700","10","1"
"三高职","1","18","123.06013","41.14587","411","8700","10","1"
"曙光医院","1","19","123.06356","41.14713","411","8700","10","1"
"太平村","1","20","123.06374","41.14979","411","8700","10","1"
"太平小区","1","21","123.06812","41.14989","411","8700","10","1"
"苗圃","1","22","123.07151","41.14722","411","8700","10","1"
"后峪","0","0","123.00703","41.08418","602","8701","10","1"
"平安街","0","1","122.99159","41.08931","602","8701","10","1"
"长大医院","0","2","123.00321","41.08935","602","8701","10","1"
"解放东路","0","3","122.98499","41.10298","602","8701","10","1"
"中华南路","0","4","122.9928","41.09083","602","8701","10","1"
"荣誉街","0","5","122.99008","41.09347","602","8701","10","1"
"解放路桥东","0","6","122.98792","41.10063","602","8701","10","1"
"山南小学","0","7","122.98741","41.09975","602","8701","10","1"
"民生东路","0","8","122.99418","41.11071","602","8701","10","1"
"天河大厦","0","9","122.99571","41.11661","602","8701","10","1"
"站前广场北","0","10","122.99387","41.11836","602","8701","10","1"
"五一路","0","11","122.99769","41.12399","602","8701","10","1"
"五一立交桥南","0","12","122.99549","41.12448","602","8701","10","1"
"金派商场","0","13","123.00078","41.12553","602","8701","10","1"
"胜利会堂","0","14","123.00818","41.12576","602","8701","10","1"
"对炉山","0","15","123.00028","41.1296","602","8701","10","1"
"鞍钢民企","0","16","123.01659","41.13894","602","8701","10","1"
"双山路","0","17","123.02239","41.14399","602","8701","10","1"
"自由街","0","18","123.01844","41.15091","602","8701","10","1"
"立山","0","19","123.03558","41.15279","602","8701","10","1"
"三院","0","20","123.03407","41.15417","602","8701","10","1"
"生产街西口","0","21","123.03774","41.15698","602","8701","10","1"
"水源街","0","22","123.03988","41.15855","602","8701","10","1"
"南沙河","0","23","123.04335","41.16354","602","8701","10","1"
"沙河桥南","0","24","123.04499","41.16662","602","8701","10","1"
"沙河桥北","0","25","123.04624","41.16909","602","8701","10","1"
"北出口","0","26","123.04897","41.17228","602","8701","10","1"
"北出口","1","0","123.049","41.17228","602","8701","10","1"
"沙河桥北","1","1","123.04627","41.16909","602","8701","10","1"
"沙河桥南","1","2","123.04502","41.16662","602","8701","10","1"
"南沙河","1","3","123.04338","41.16354","602","8701","10","1"
"水源街","1","4","123.03985","41.15855","602","8701","10","1"
"生产街西口","1","5","123.03777","41.15698","602","8701","10","1"
"三院","1","6","123.03404","41.15417","602","8701","10","1"
"立山","1","7","123.03555","41.15279","602","8701","10","1"
"自由街","1","8","123.01841","41.15091","602","8701","10","1"
"双山路","1","9","123.02236","41.14399","602","8701","10","1"
"鞍钢民企","1","10","123.01662","41.13894","602","8701","10","1"
"对炉山","1","11","123.00031","41.1296","602","8701","10","1"
"胜利会堂","1","12","123.00818","41.12576","602","8701","10","1"
"四隆广场","1","13","123.00212","41.12053","602","8701","10","1"
"五一路","1","14","122.99812","41.12323","602","8701","10","1"
"红桥北","1","15","0","0","602","8701","10","1"
"天河大厦","1","16","122.99574","41.11661","602","8701","10","1"
"民生东路","1","17","122.99418","41.11071","602","8701","10","1"
"山南小学","1","18","122.98741","41.09975","602","8701","10","1"
"解放路桥东","1","19","122.98792","41.10063","602","8701","10","1"
"荣誉街","1","20","122.99008","41.09347","602","8701","10","1"
"中华南路","1","21","122.9928","41.09083","602","8701","10","1"
"解放东路","1","22","122.98499","41.10298","602","8701","10","1"
"长大医院","1","23","123.00321","41.08935","602","8701","10","1"
"平安街","1","24","122.99162","41.08931","602","8701","10","1"
"后峪","1","25","123.00706","41.08418","602","8701","10","1"
"太平小区","0","0","123.06755","41.15024","605","8702","10","1"
"太平村","0","1","123.0626","41.15055","605","8702","10","1"
"曙光街","0","2","122.7648","40.85444","605","8702","10","1"
"工业街","0","3","123.05302","41.15091","605","8702","10","1"
"孟泰公园","0","4","123.03744","41.15251","605","8702","10","1"
"立山广场","0","5","123.03401","41.15308","605","8702","10","1"
"自由街","0","6","123.02616","41.14759","605","8702","10","1"
"双山路","0","7","123.02236","41.14399","605","8702","10","1"
"光明街","0","8","123.01815","41.14045","605","8702","10","1"
"对炉山","0","9","123.01289","41.13435","605","8702","10","1"
"胜利会堂","0","10","123.00892","41.1274","605","8702","10","1"
"四隆广场","0","11","123.00141","41.12142","605","8702","10","1"
"五一路公交枢纽站","0","12","123.00103","41.11785","605","8702","10","1"
"五一路公交枢纽站","1","0","123.00103","41.11785","605","8702","10","1"
"四隆广场","1","1","123.00212","41.12053","605","8702","10","1"
"胜利错会堂","1","2","0","0","605","8702","10","1"
"对炉山","1","3","123.00028","41.1296","605","8702","10","1"
"光明街","1","4","123.01193","41.14236","605","8702","10","1"
"双山路","1","5","123.02239","41.14399","605","8702","10","1"
"自由街","1","6","123.01844","41.15091","605","8702","10","1"
"立山广场","1","7","123.03404","41.15308","605","8702","10","1"
"孟泰公园","1","8","123.03829","41.15234","605","8702","10","1"
"工业街","1","9","123.0521","41.15088","605","8702","10","1"
"曙光街","1","10","122.7648","40.85444","605","8702","10","1"
"太平村","1","11","123.08007","41.15719","605","8702","10","1"
"太平小区","1","12","123.08123","41.15807","605","8702","10","1"
"莘英路","0","0","123.02038","41.08586","一环东路","8703","10","1"
"湖南街","0","1","123.01627","41.09671","一环东路","8703","10","1"
"汇源路","0","2","123.05445","41.11383","一环东路","8703","10","1"
"米兰小区","0","3","123.02781","41.08764","一环东路","8703","10","1"
"鞍山市人才市场","0","4","123.00777","41.11875","一环东路","8703","10","1"
"欧华小区莘英路","0","5","123.02038","41.08586","一环东路","8703","10","1"
"营城新村","0","6","123.03335","41.09371","一环东路","8703","10","1"
"千山中路(科大信息技术学院)","0","7","123.05096","41.10949","一环东路","8703","10","1"
"智慧城西门","0","8","123.05445","41.11383","一环东路","8703","10","1"
"汇芳园","0","9","123.05486","41.11799","一环东路","8703","10","1"
"东山林语(双潭公园)","0","10","123.05158","41.12551","一环东路","8703","10","1"
"深沟寺广场","0","11","123.04556","41.12888","一环东路","8703","10","1"
"曙光路南口","0","12","123.04308","41.13125","一环东路","8703","10","1"
"健身广场","0","13","123.03818","41.1332","一环东路","8703","10","1"
"朝阳二街","0","14","123.03051","41.13147","一环东路","8703","10","1"
"双山医院","0","15","123.02947","41.13957","一环东路","8703","10","1"
"中华小学","0","16","123.02449","41.14237","一环东路","8703","10","1"
"团结街","0","17","123.00822","41.13152","一环东路","8703","10","1"
"小东门","0","18","123.0125","41.14324","一环东路","8703","10","1"
"和平桥","0","19","123.00364","41.13598","一环东路","8703","10","1"
"五一路","0","20","122.99769","41.12399","一环东路","8703","10","1"
"站前(五一公交枢纽站)","0","21","122.2656","40.70301","一环东路","8703","10","1"
"站前(五一公交枢纽站)","1","0","122.2656","40.70301","一环东路","8703","10","1"
"五一路","1","1","122.99772","41.12399","一环东路","8703","10","1"
"和平桥","1","2","123.00367","41.13598","一环东路","8703","10","1"
"小东门","1","3","123.01253","41.14324","一环东路","8703","10","1"
"团结街","1","4","123.00825","41.13152","一环东路","8703","10","1"
"中华小学","1","5","123.02452","41.14237","一环东路","8703","10","1"
"双山医院","1","6","123.02947","41.13957","一环东路","8703","10","1"
"朝阳二街","1","7","123.03048","41.13147","一环东路","8703","10","1"
"健身广场","1","8","123.03821","41.1332","一环东路","8703","10","1"
"曙光路南口","1","9","123.04305","41.13125","一环东路","8703","10","1"
"深沟寺广场","1","10","123.04559","41.12888","一环东路","8703","10","1"
"东山林语(双潭公园)","1","11","123.05158","41.12551","一环东路","8703","10","1"
"汇芳园","1","12","123.05483","41.11799","一环东路","8703","10","1"
"智慧城西门","1","13","123.05445","41.11383","一环东路","8703","10","1"
"千山中路(科大信息技术学院)","1","14","123.05096","41.10949","一环东路","8703","10","1"
"营城新村","1","15","123.03335","41.09371","一环东路","8703","10","1"
"欧华小区","1","16","123.02945","41.08699","一环东路","8703","10","1"
"鞍山市人才市场","1","17","123.00777","41.11875","一环东路","8703","10","1"
"米兰小区","1","18","123.02781","41.08764","一环东路","8703","10","1"
"汇源路","1","19","123.05445","41.11383","一环东路","8703","10","1"
"湖南街","1","20","123.01627","41.09671","一环东路","8703","10","1"
"莘英路","1","21","123.02038","41.08586","一环东路","8703","10","1"
"","1","22","0","0","一环东路","8703","10","1"
"","1","23","0","0","一环东路","8703","10","1"
"","1","24","0","0","一环东路","8703","10","1"
"","1","25","0","0","一环东路","8703","10","1"
"","1","26","0","0","一环东路","8703","10","1"
"","1","27","0","0","一环东路","8703","10","1"
"","1","28","0","0","一环东路","8703","10","1"
"站前(五一公交枢纽站)","0","0","122.2656","40.70301","一环西路","8704","10","1"
"鞍山站","0","1","122.99271","41.11674","一环西路","8704","10","1"
"新兴市场","0","2","122.99053","41.11294","一环西路","8704","10","1"
"安乐街","0","3","122.98702","41.10678","一环西路","8704","10","1"
"荣誉街","0","4","122.99282","41.09799","一环西路","8704","10","1"
"中华南路","0","5","122.99816","41.09625","一环西路","8704","10","1"
"园林大道(交警支队)","0","6","123.00066","41.094","一环西路","8704","10","1"
"新营广场","0","7","123.00895","41.09355","一环西路","8704","10","1"
"长兴街","0","8","123.01486","41.0899","一环西路","8704","10","1"
"嘉伦花园","0","9","123.01368","41.08876","一环西路","8704","10","1"
"解放东路","0","10","123.01802","41.08549","一环西路","8704","10","1"
"解放东路","1","0","122.98499","41.10298","一环西路","8704","10","1"
"嘉伦花园","1","1","123.01455","41.08723","一环西路","8704","10","1"
"长兴街","1","2","123.01486","41.0899","一环西路","8704","10","1"
"新营广场","1","3","123.00921","41.09384","一环西路","8704","10","1"
"园林大道(交警支队)","1","4","123.00066","41.094","一环西路","8704","10","1"
"中华南路","1","5","122.9928","41.09083","一环西路","8704","10","1"
"荣誉街","1","6","122.99008","41.09347","一环西路","8704","10","1"
"安乐街","1","7","123.00993","41.09834","一环西路","8704","10","1"
"新兴商贸城","1","8","122.98827","41.10932","一环西路","8704","10","1"
"老年病医院","1","9","122.98856","41.10903","一环西路","8704","10","1"
"鞍山站","1","10","122.99264","41.11875","一环西路","8704","10","1"
"站前(五一公交枢纽站)","1","11","122.2656","40.70301","一环西路","8704","10","1"
"","1","12","0","0","一环西路","8704","10","1"
"","1","13","0","0","一环西路","8704","10","1"
"第二医院","0","0","122.5214","41.21514","52","8705","11","1"
"九街口","0","1","122.97067","41.10522","52","8705","11","1"
"三街口","0","2","122.97699","41.10321","52","8705","11","1"
"福利街","0","3","122.98984","41.0991","52","8705","11","1"
"中华南路","0","4","122.99818","41.09639","52","8705","11","1"
"园林大道","0","5","123.00297","41.0949","52","8705","11","1"
"新营广场","0","6","123.00921","41.09384","52","8705","11","1"
"矿山宾馆","0","7","123.01251","41.094","52","8705","11","1"
"鞍山市中医院","0","8","123.01708","41.09391","52","8705","11","1"
"鞍山市中医院","1","0","123.01708","41.09391","52","8705","11","1"
"矿山宾馆","1","1","123.01251","41.094","52","8705","11","1"
"新营广场","1","2","123.00921","41.09384","52","8705","11","1"
"园林大道","1","3","122.992","41.08138","52","8705","11","1"
"中华南路","1","4","122.99848","41.09616","52","8705","11","1"
"福利街","1","5","122.98714","41.09263","52","8705","11","1"
"三街口","1","6","122.97699","41.10321","52","8705","11","1"
"九街口","1","7","122.97067","41.10522","52","8705","11","1"
"第二医院","1","8","122.5214","41.21514","52","8705","11","1"
